black,  Black   ,#000000,0,0,0
dimgray,  Dimgray   ,#696969,105,105,105
gray,  Gray   ,#808080,128,128,128
silver,  Silver   ,#c0c0c0,192,192,192
gainsboro,  Gainsboro   ,#dcdcdc,220,220,220
lightgray,  Lightgray   ,#d3d3d3,211,211,211
whitesmoke,  Whitesmoke   ,#f5f5f5,245,245,245
white,  White   ,#ffffff,255,255,255
snow,  Snow   ,#fffafa,255,250,250
darkgray,  Darkgray   ,#a9a9a9,169,169,169
lightyellow,  Lightyellow   ,#ffffe0,255,255,224
floralwhite,  Floralwhite   ,#fffaf0,255,250,240
seashell,  Seashell   ,#fff5ee,255,245,238
linen,  Linen   ,#faf0e6,250,240,230
ivory,  Ivory   ,#fffff0,255,255,240
azure,  Azure   ,#f0ffff,240,255,255
lightcyan,  Lightcyan   ,#e0ffff,224,255,255
blanchedalmond,  Blanchedalmond  ,#ffebcd,255,235,205
bisque,  Bisque   ,#ffe4c4,255,228,196
mintcream,  Mintcream   ,#f5fffa,245,255,250
papayawhip,  Papayawhip   ,#ffefd5,255,239,213
ghostwhite,  Ghostwhite  ,#f8f8ff,248,248,255
mistyrose,  Mistyrose  ,#ffe4e1,255,228,225
lemonchiffon,  Lemonchiffon  ,#fffacd,255,250,205
honeydew,  Honeydew  ,#f0fff0,240,255,240
cornsilk,  Cornsilk  ,#fff8dc,255,248,220
lightskyblue,  Lightskyblue  ,#87cefa,135,206,250
burlywood," ""Burlywood """,#deb887,222,184,135
darkgoldenrod," ""Darkgoldenrod """,#b8860b,184,134,11
darkred,"""Darkred""",#8b0000,139,0,0
maroon,"""Maroon""",#800000,128,0,0
navajowhite,"""Navajowhite""",#ffdead,255,222,173
peachpuff,"""Peachpuff""",#ffdab9,255,218,185
aliceblue,"""Aliceblue""",#f0f8ff,240,248,255
lavenderblush,"""Lavenderblush""",#fff0f5,255,240,245
moccasin,"""Moccasin""",#ffe4b5,255,228,181
